time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2014-01-01,0,3.7876,0,384.0923,1.7067,0.3671,0.0445,13.4601,121.1413,13.4601,0.7898,7.1079,1.5795,0.014,0.1264,0.3276,64.9225,0.7118,126.3866
2014-01-02,0.3842,4.2305,0,379.6355,1.6538,0.3756,0.0465,23.6029,212.4258,23.6029,0.7992,7.1925,1.5983,0.014,0.1261,0.327,61.5486,0.7118,126.3866
2014-01-03,0.269,1.3205,0,410.6094,1.8016,0.3797,0.0431,28.1527,253.3746,28.1527,0.7749,6.9737,1.5497,0.0383,0.3449,0.8941,41.7303,0.7118,126.3866
2014-01-04,0.1883,1.0666,0,413.5116,1.717,0.3549,0.0329,15.1024,135.9215,15.1024,0.7969,7.1721,1.5938,0.0644,0.5799,1.5034,63.0397,0.7118,126.3866
2014-01-05,0.1421,3.4719,0,387.3236,1.762,0.3784,0.0561,21.6533,194.8794,21.6533,0.7885,7.0964,1.577,0.055,0.4952,1.2839,77.7941,0.7118,126.3866
2014-01-06,0.1039,3.1818,0,390.3331,1.5871,0.3725,0.0522,-1.6827,-15.1441,-1.6827,0.8035,7.2315,1.607,0.0363,0.3265,0.8465,93.9313,0.7118,126.3866
2014-01-07,0.0727,0.2532,0,423.0377,1.7239,0.3426,0.0499,13.9706,125.7351,13.9706,0.7952,7.1571,1.5905,0.0226,0.2036,0.5277,106.6938,0.7118,126.3866
2014-01-08,0.0509,0.2804,0,422.7134,1.7961,0.3571,0.0544,21.409,192.6808,21.409,0.7828,7.0451,1.5656,0.089,0.8006,2.0756,18.1442,0.7118,126.3866
2014-01-09,0.0356,1.2204,0,411.7493,1.7007,0.3512,0.0404,11.3223,101.901,11.3223,0.7917,7.1254,1.5834,-0.0074,-0.0665,-0.1725,63.1337,0.7118,126.3866
2014-01-10,0.1254,2.7441,0,394.9489,1.7068,0.349,0.0289,17.2126,154.913,17.2126,0.7898,7.108,1.5796,0.026,0.2336,0.6057,52.5935,0.7118,126.3866
2014-01-11,0.2146,4.6405,0,375.5873,1.7082,0.3638,0.0456,6.9205,62.2849,6.9205,0.7957,7.1615,1.5914,0.0365,0.3282,0.8509,81.6879,0.7118,126.3866
