time,FLOW
2014-01-01,0
2014-01-02,0.3842
2014-01-03,0.269
2014-01-04,0.1883
2014-01-05,0.1421
2014-01-06,-0.3591
2014-01-07,0.0727
2014-01-08,0.0509
2014-01-09,0.0356
2014-01-10,0.1254
2014-01-11,0.2146
2014-01-12,0.1502
2014-01-13,0.1052
2014-01-14,0.1704
2014-01-15,0.1271
2014-01-16,0.089
2014-01-17,0.0623
2014-01-18,0.0436
2014-01-19,0.0305
2014-01-20,0.0214
2014-01-21,0.028
2014-01-22,0.0196
2014-01-23,0.0137
2014-01-24,0.0096
2014-01-25,0.0067
2014-01-26,0.0047
2014-01-27,0.0033
2014-01-28,0.0131
2014-01-29,0.0092
2014-01-30,0.0064
2014-01-31,0.0045
2014-02-01,0.0031
2014-02-02,0.0022
2014-02-03,0.3264
2014-02-04,0.241
2014-02-05,0.1729
2014-02-06,0.121
2014-02-07,0.0847
2014-02-08,0.0593
2014-02-09,0.0415
2014-02-10,0.0291
2014-02-11,0.0203
2014-02-12,0.1404
2014-02-13,0.3166
2014-02-14,0.2216
2014-02-15,0.1551
2014-02-16,0.1086
2014-02-17,0.076
2014-02-18,0.0532
2014-02-19,0.0953
2014-02-20,0.2259
2014-02-21,0.272
2014-02-22,0.1904
2014-02-23,0.1333
2014-02-24,0.0933
2014-02-25,0.0653
2014-02-26,0.0457
2014-02-27,0.032
2014-02-28,0.0224
2014-03-01,0.0157
2014-03-02,0.0433
2014-03-03,0.1864
2014-03-04,0.1304
2014-03-05,0.0913
2014-03-06,0.0639
2014-03-07,0.0693
2014-03-08,0.0485
2014-03-10,0.1109
2014-03-11,0.0776
2014-03-12,0.0543
2014-03-13,0.038
2014-03-14,0.0266
2014-03-15,0.0186
2014-03-16,0.013
2014-03-17,0.0665
2014-03-18,0.0738
2014-03-19,0.0517
2014-03-20,0.0362
2014-03-21,0.0253
2014-03-22,0.0177
2014-03-23,0.0124
2014-03-24,0.0087
2014-03-25,0.0061
2014-03-26,0.059
2014-03-27,0.0413
2014-03-28,0.0289
2014-03-29,0.0202
2014-03-30,0.1056
2014-03-31,0.0739
2014-04-01,0.0517
2014-04-02,0.0362
2014-04-03,0.0253
2014-04-04,0.0177
2014-04-05,0.0124
2014-04-06,0.0087
2014-04-07,0.0061
2014-04-08,0.2039
2014-04-09,0.1427
2014-04-10,0.0999
2014-04-11,0.0699
2014-04-12,0.049
2014-04-13,0.0343
2014-04-14,0.024
2014-04-15,0.0168
2014-04-16,0.1871
2014-04-17,0.131
2014-04-18,0.0917
2014-04-19,0.0642
2014-04-20,0.0449
2014-04-21,0.0314
2014-04-22,0.022
2014-04-23,0.0154
2014-04-24,0.0108
2014-04-25,0.0075
2014-04-26,0.0286
2014-04-27,0.02
2014-04-28,0.014
2014-04-29,0.0876
2014-04-30,0.2659
2014-05-01,0.1862
2014-05-02,0.1303
2014-05-03,0.0912
2014-05-04,0.5268
2014-05-05,0.0447
2014-05-06,0.0313
2014-05-07,0.0219
2014-05-08,0.0153
2014-05-09,0.0107
2014-05-10,0.3547
2014-05-11,0.0129
2014-05-12,0.009
2014-05-13,0.0063
2014-05-14,0.0044
2014-05-15,0.0031
2014-05-16,0.3455
2014-05-17,0.2418
2014-05-18,0.1693
2014-05-19,0.1185
2014-05-20,0.083
2014-05-21,0.0581
2014-05-22,0.0406
2014-05-23,0.0285
2014-05-24,0.0199
2014-05-25,0.0139
2014-05-26,0.0098
2014-05-27,0.0068
2014-05-28,0.352
2014-05-29,0.0033
2014-05-30,0.2524
2014-05-31,0.0146
2014-06-01,0.3575
2014-06-02,0.0072
2014-06-03,0.005
2014-06-04,0.0035
2014-06-05,0.101
2014-06-06,0.0707
2014-06-07,0.0495
2014-06-08,0.3819
2014-06-09,0.0242
2014-06-10,0.017
2014-06-11,0.0119
2014-06-12,-0.233
2014-06-13,0.1521
2014-06-14,0.1065
2014-06-15,0.0745
2014-06-16,0.3994
2014-06-17,0.0365
2014-06-18,0.0256
2014-06-19,0.0179
2014-06-20,0.3597
2014-06-21,0.0519
2014-06-22,0.0364
2014-06-23,0.392
2014-06-24,0.0313
2014-06-25,0.0219
2014-06-26,0.3626
2014-06-27,0.0107
2014-06-28,0.0075
2014-06-29,0.0053
2014-06-30,0.3509
2014-07-01,0.0026
2014-07-02,0.0018
2014-07-03,0.0013
2014-07-04,0.2313
2014-07-05,0.1619
2014-07-06,0.3448
2014-07-07,0.0793
2014-07-08,0.0555
2014-07-09,0.0389
2014-07-10,0.0615
2014-07-11,0.3903
2014-07-12,0.0302
2014-07-13,0.0211
2014-07-14,0.0148
2014-07-15,0.0161
2014-07-16,0.3591
2014-07-17,0.0083
2014-07-18,0.0058
2014-07-19,0.0041
2014-07-20,0.3508
2014-07-21,0.0025
2014-07-22,0.0018
2014-07-23,0.0012
2014-07-24,9.00E-04
2014-07-25,0.0868
2014-07-26,0.2922
2014-07-27,0.0425
2014-07-28,0.0409
2014-07-29,0.0286
2014-07-30,0.02
2014-07-31,0.014
2014-08-01,0.357
2014-08-02,0.1053
2014-08-03,0.0737
2014-08-04,0.3988
2014-08-05,0.0361
2014-08-06,0.0253
2014-08-07,0.0177
2014-08-08,0.0124
2014-08-09,0.0493
2014-08-10,0.3764
2014-08-11,0.2635
2014-08-12,0.3221
2014-08-13,0.2854
2014-08-14,0.1998
2014-08-15,0.1399
2014-08-16,0.0979
2014-08-17,0.0685
2014-08-18,0.048
2014-08-19,0.4751
2014-08-20,0.1219
2014-08-21,0.0853
2014-08-22,0.0597
2014-08-23,0.0418
2014-08-24,0.2433
2014-08-25,0.1703
2014-08-26,0.1192
2014-08-27,0.0835
2014-08-28,0.0584
2014-08-29,0.0409
2014-08-30,0.0286
2014-08-31,0.02
2014-09-01,0.014
2014-09-02,0.0098
2014-09-03,0.059
2014-09-04,0.0413
2014-09-05,0.0289
2014-09-06,0.0202
2014-09-07,0.0434
2014-09-08,0.0304
2014-09-09,0.0213
2014-09-10,0.3274
2014-09-11,0.0104
2014-09-12,0.0073
2014-09-13,0.028
2014-09-14,0.0776
2014-09-15,0.0543
2014-09-16,0.038
2014-09-17,0.0266
2014-09-18,0.0186
2014-09-19,0.013
2014-09-20,0.0193
2014-09-21,0.0135
2014-09-22,0.0094
2014-09-23,0.0066
2014-09-24,0.0046
2014-09-25,0.0032
2014-09-26,0.0023
2014-09-27,0.0016
2014-09-28,0.0011
2014-09-29,8.00E-04
2014-09-30,5.00E-04
2014-10-01,4.00E-04
2014-10-02,3.00E-04
2014-10-03,2.00E-04
2014-10-04,0.0574
2014-10-05,0.0402
2014-10-06,0.0281
2014-10-07,0.0254
2014-10-08,0.1394
2014-10-09,0.0983
2014-10-10,0.0688
2014-10-11,0.0949
2014-10-12,0.0664
2014-10-13,0.1506
2014-10-14,0.1118
2014-10-15,0.1336
2014-10-16,0.2785
2014-10-17,0.195
2014-10-18,0.1365
2014-10-19,0.0955
2014-10-20,0.0669
2014-10-21,0.0468
2014-10-22,0.0328
2014-10-23,0.0229
2014-10-24,0.0161
2014-10-25,0.0112
2014-10-26,0.0079
2014-10-27,0.0055
2014-10-28,0.0039
2014-10-29,0.0027
2014-10-30,0.0019
2014-10-31,0.0013
2014-11-01,0.0316
2014-11-02,0.0815
2014-11-02,0.057
2014-11-03,0.0399
2014-11-04,0.028
2014-11-05,0.0196
2014-11-06,0.0236
2014-11-07,0.0165
2014-11-08,0.0116
2014-11-09,0.3206
2014-11-10,0.0057
2014-11-11,0.004
2014-11-12,0.0028
2014-11-13,0.0019
2014-11-14,0.0014
2014-11-15,0.001
2014-11-16,0.0027
2014-11-17,0.1454
2014-11-18,0.1018
2014-11-19,0.0712
2014-11-20,0.0499
2014-11-21,0.0349
2014-11-22,0.0244
2014-11-23,0.1259
2014-11-24,0.0881
2014-11-25,0.0617
2014-11-26,0.3205
2014-11-27,0.2244
2014-11-28,0.157
2014-11-29,-0.2026
2014-11-30,0.077
2014-12-01,0.0543
2014-12-02,0.1366
2014-12-03,0.0956
2014-12-04,0.0801
2014-12-05,0.0638
2014-12-06,0.0599
2014-12-07,0.0419
2014-12-08,0.0329
2014-12-09,0.023
2014-12-10,0.0161
2014-12-11,0.0113
2014-12-12,0.3204
2014-12-13,0.0055
2014-12-14,0.0039
2014-12-15,0.0027
2014-12-16,0.0022
2014-12-17,0.0015
2014-12-18,0.0011
2014-12-19,8.00E-04
2014-12-20,5.00E-04
2014-12-21,4.00E-04
2014-12-22,0.0152
2014-12-23,0.0829
2014-12-24,0.1536
2014-12-25,0.1099
2014-12-26,0.0769
2014-12-27,0.0538
2014-12-28,0.0377
2014-12-29,0.0678
2014-12-30,0.0586
2014-12-31,0.041
2015-01-01,0.0287
2015-01-02,0.0201
2015-01-03,0.0388
2015-01-04,0.0377
2015-01-05,0.0264
2015-01-06,0.0185
2015-01-07,0.0129
2015-01-08,0.0091
2015-01-09,0.0063
2015-01-10,0.0044
2015-01-11,0.0031
2015-01-12,0.0518
2015-01-13,0.0362
2015-01-14,0.0282
2015-01-15,0.0197
2015-01-16,0.0138
2015-01-17,0.0097
2015-01-18,0.0068
2015-01-19,0.0047
2015-01-20,0.0035
2015-01-21,0.0024
2015-01-22,0.0017
2015-01-23,0.0939
2015-01-24,0.0789
2015-01-25,0.0552
2015-01-26,0.0396
2015-01-27,0.0277
2015-01-28,0.0194
2015-01-29,0.0136
2015-01-30,0.0095
2015-01-31,0.0067
2015-02-01,0.0062
2015-02-02,0.0197
2015-02-03,0.0138
2015-02-04,0.0096
2015-02-05,0.0068
2015-02-06,0.0047
2015-02-07,0.0033
2015-02-08,0.0023
2015-02-09,0.0016
2015-02-10,0.0011
2015-02-11,8.00E-04
2015-02-12,6.00E-04
2015-02-13,4.00E-04
2015-02-14,3.00E-04
2015-02-15,2.00E-04
2015-02-16,0.1416
2015-02-17,0.1161
2015-02-18,-0.2312
2015-02-19,0.0583
2015-02-20,0.0408
2015-02-21,0.1944
2015-02-22,0.1465
2015-02-23,0.1026
2015-02-24,0.0718
2015-02-25,0.0503
2015-02-26,0.0719
2015-02-27,0.0503
2015-02-28,0.0352
2015-03-01,0.0246
2015-03-02,0.0173
2015-03-03,-0.3004
2015-03-04,0.1379
2015-03-05,0.3163
2015-03-06,0.2214
2015-03-07,0.155
2015-03-09,0.2146
2015-03-10,0.1774
2015-03-11,0.1242
2015-03-12,0.0881
2015-03-13,0.0617
2015-03-14,0.3909
2015-03-15,0.0785
2015-03-16,0.055
2015-03-17,0.0385
2015-03-18,0.0269
2015-03-19,0.0189
2015-03-20,0.0946
2015-03-21,0.0843
2015-03-22,0.059
2015-03-23,0.0413
2015-03-24,0.0289
2015-03-25,0.0202
2015-03-26,0.0142
2015-03-27,0.1082
2015-03-28,0.1433
2015-03-29,0.1003
2015-03-30,0.0702
2015-03-31,0.3616
2015-04-01,0.0344
2015-04-02,0.0241
2015-04-03,0.0169
2015-04-04,0.0118
2015-04-05,0.0083
2015-04-06,-0.3067
2015-04-07,0.004
2015-04-08,0.0443
2015-04-09,0.0374
2015-04-10,0.1131
2015-04-11,0.0792
2015-04-12,-0.2571
2015-04-13,0.0388
2015-04-14,0.0272
2015-04-15,0.1696
2015-04-16,0.1188
2015-04-17,0.1327
2015-04-18,-0.208
2015-04-19,0.065
2015-04-20,0.4095
2015-04-21,0.3275
2015-04-22,0.2292
2015-04-23,0.4614
2015-04-24,0.1123
2015-04-25,0.0786
2015-04-26,0.0956
2015-04-27,0.1093
2015-04-28,0.0765
2015-04-29,0.366
2015-04-30,0.0375
2015-05-01,0.0571
2015-05-02,0.0906
2015-05-03,0.0634
2015-05-04,0.0444
2015-05-05,0.0311
2015-05-06,0.0217
2015-05-07,0.0676
2015-05-08,0.0473
2015-05-09,0.0331
2015-05-10,0.0232
2015-05-11,0.0162
2015-05-12,0.0114
2015-05-13,0.008
2015-05-14,0.0056
2015-05-15,0.0039
2015-05-16,0.0027
2015-05-17,0.0019
2015-05-18,0.0256
2015-05-19,0.0435
2015-05-20,0.0304
2015-05-21,-0.2912
2015-05-22,0.043
2015-05-23,0.0301
2015-05-24,0.0211
2015-05-25,0.0147
2015-05-26,0.0103
2015-05-27,0.0072
2015-05-28,0.0051
2015-05-29,0.0035
2015-05-30,0.0025
2015-05-31,0.3142
2015-06-01,0.0509
2015-06-02,0.1763
2015-06-03,0.4464
2015-06-04,0.3745
2015-06-05,0.2712
2015-06-06,0.1899
2015-06-07,0.1329
2015-06-08,0.4055
2015-06-09,0.1423
2015-06-10,0.0996
2015-06-11,0.0697
2015-06-12,0.0488
2015-06-13,0.0342
2015-06-14,0.0239
2015-06-15,-0.2958
2015-06-16,0.0117
2015-06-17,0.0082
2015-06-18,0.1418
2015-06-19,0.1149
2015-06-20,0.0804
2015-06-21,0.3688
2015-06-22,0.0394
2015-06-23,0.0276
2015-06-24,0.0193
2015-06-25,0.0135
2015-06-26,-0.303
2015-06-27,0.023
2015-06-28,0.1777
2015-06-29,0.1244
2015-06-30,0.0871
2015-07-01,-0.2516
2015-07-02,0.0427
2015-07-03,0.0299
2015-07-04,0.0591
2015-07-05,0.3539
2015-07-06,0.0464
2015-07-07,0.24
2015-07-08,0.168
2015-07-09,0.1176
2015-07-10,0.0823
2015-07-11,0.0576
2015-07-12,0.0421
2015-07-13,0.1252
2015-07-14,0.3039
2015-07-15,-0.0998
2015-07-16,0.1489
2015-07-17,0.1042
2015-07-18,0.073
2015-07-19,0.0511
2015-07-20,0.0358
2015-07-21,0.025
2015-07-22,0.0175
2015-07-23,0.0123
2015-07-24,0.0086
2015-07-25,0.3185
2015-07-26,0.0042
2015-07-27,0.0029
2015-07-28,0.0021
2015-07-29,0.0063
2015-07-30,0.0044
2015-07-31,0.0031
2015-08-01,0.0022
2015-08-02,0.0015
2015-08-03,0.0011
2015-08-04,7.00E-04
2015-08-05,5.00E-04
2015-08-06,4.00E-04
2015-08-07,0.0313
2015-08-08,0.0219
2015-08-09,0.0154
2015-08-10,0.0108
2015-08-11,0.2744
2015-08-12,0.1937
2015-08-13,0.1356
2015-08-14,0.0949
2015-08-15,0.0664
2015-08-16,0.359
2015-08-17,0.0511
2015-08-18,0.0358
2015-08-19,0.0393
2015-08-20,0.096
2015-08-21,0.0672
2015-08-22,0.047
2015-08-23,0.0329
2015-08-24,0.023
2015-08-25,0.0161
2015-08-26,0.0113
2015-08-27,0.0079
2015-08-28,0.0055
2015-08-29,0.0039
2015-08-30,0.0027
2015-08-31,0.0019
2015-09-01,0.0013
2015-09-02,9.00E-04
2015-09-03,7.00E-04
2015-09-04,5.00E-04
2015-09-05,0.1297
2015-09-06,0.0908
2015-09-07,0.0636
2015-09-08,0.0445
2015-09-09,0.0312
2015-09-10,0.0509
2015-09-11,0.0356
2015-09-12,0.0249
2015-09-13,0.0174
2015-09-14,0.0122
2015-09-15,0.0085
2015-09-16,0.006
2015-09-17,-0.3083
2015-09-18,0.0029
2015-09-19,0.0021
2015-09-20,0.0014
2015-09-21,0.001
2015-09-22,0.2711
2015-09-23,0.1898
2015-09-24,0.1328
2015-09-25,0.093
2015-09-26,0.1161
2015-09-27,0.4111
2015-09-28,0.6934
2015-09-29,0.1964
2015-09-30,0.9049
2015-10-01,0.3325
2015-10-02,0.0962
2015-10-03,0.5181
2015-10-04,0.2712
2015-10-05,0.4595
2015-10-06,0.3216
2015-10-07,0.2251
2015-10-08,0.1576
2015-10-09,0.1103
2015-10-10,0.1319
2015-10-11,0.4612
2015-10-12,0.0798
2015-10-13,0.0558
2015-10-14,0.0391
2015-10-15,0.3746
2015-10-16,0.0192
2015-10-17,0.0134
2015-10-18,0.0094
2015-10-19,0.0066
2015-10-20,0.3055
2015-10-21,0.0032
2015-10-22,0.0023
2015-10-23,0.0016
2015-10-24,0.0011
2015-10-25,8.00E-04
2015-10-26,-0.3004
2015-10-27,4.00E-04
2015-10-28,0.2733
2015-10-29,0.4441
2015-10-30,0.3109
2015-10-31,0.2176
2015-11-01,0.1523
2015-11-01,0.4076
2015-11-02,0.0872
2015-11-03,0.061
2015-11-04,0.0427
2015-11-05,0.0299
2015-11-06,0.0209
2015-11-07,0.3469
2015-11-08,0.0241
2015-11-09,0.2798
2015-11-10,0.204
2015-11-11,0.1428
2015-11-12,0.1
2015-11-13,0.07
2015-11-14,-0.2635
2015-11-15,0.0343
2015-11-16,0.024
2015-11-17,0.0168
2015-11-18,0.1207
2015-11-19,0.337
2015-11-20,0.2359
2015-11-21,0.1651
2015-11-22,0.1156
2015-11-23,0.0809
2015-11-24,0.0566
2015-11-25,0.0397
2015-11-26,0.0278
2015-11-27,0.0194
2015-11-28,0.0136
2015-11-29,0.0214
2015-11-30,0.1397
2015-12-01,0.2782
2015-12-02,0.2952
2015-12-03,0.2066
2015-12-04,0.1446
2015-12-05,0.1012
2015-12-06,0.0709
2015-12-07,0.0534
2015-12-08,0.0374
2015-12-09,0.0262
2015-12-10,0.0183
2015-12-11,0.0128
2015-12-12,0.009
2015-12-13,0.0063
2015-12-14,0.3185
2015-12-15,0.0042
2015-12-16,0.0029
2015-12-17,0.1615
2015-12-18,0.113
2015-12-19,0.0791
2015-12-20,-0.2571
2015-12-21,0.0417
2015-12-22,0.0649
2015-12-23,0.1582
2015-12-24,0.2364
2015-12-25,0.1902
2015-12-26,0.1378
2015-12-27,0.0965
2015-12-28,0.1142
2015-12-29,0.1124
2015-12-30,0.0987
2015-12-31,0.0691
2016-01-01,0.0483
2016-01-02,0.0338
2016-01-03,0.0237
2016-01-04,0.0166
2016-01-05,0.0116
2016-01-06,0.0081
2016-01-07,0.0057
2016-01-08,0.0255
2016-01-09,0.1179
2016-01-10,0.1109
2016-01-11,0.0776
2016-01-12,0.0543
2016-01-13,0.038
2016-01-14,0.3391
2016-01-15,0.1063
2016-01-16,0.0744
2016-01-17,0.0548
2016-01-18,0.0383
2016-01-19,0.0268
2016-01-20,0.0188
2016-01-21,0.0132
2016-01-22,0.2542
2016-01-23,0.2335
2016-01-24,0.1635
2016-01-25,0.1144
2016-01-26,0.0801
2016-01-27,0.0561
2016-01-28,-0.2733
2016-01-29,0.0275
2016-01-30,0.0192
2016-01-31,0.0161
2016-02-01,0.1936
2016-02-02,0.1983
2016-02-03,0.3631
2016-02-04,0.2542
2016-02-05,0.1779
2016-02-06,0.1246
2016-02-07,0.0872
2016-02-08,0.0628
2016-02-09,0.044
2016-02-10,0.0308
2016-02-11,0.0216
2016-02-12,0.0151
2016-02-13,0.0106
2016-02-14,-0.2829
2016-02-15,0.2057
2016-02-16,0.3637
2016-02-17,-0.0926
2016-02-18,0.1782
2016-02-19,0.1248
2016-02-20,-0.2129
2016-02-21,0.4215
2016-02-22,0.295
2016-02-23,0.0865
2016-02-24,0.3529
2016-02-25,0.247
2016-02-26,0.1729
2016-02-27,0.3525
2016-02-28,0.0847
2016-02-29,0.0593
2016-03-01,0.4177
2016-03-02,0.0493
2016-03-03,0.0385
2016-03-04,-0.3203
2016-03-05,0.0188
2016-03-06,0.0132
2016-03-07,-0.2222
2016-03-08,0.0065
2016-03-09,0.0045
2016-03-10,0.0032
2016-03-11,0.0022
2016-03-12,-0.3457
2016-03-14,0.0234
2016-03-15,0.2069
2016-03-16,0.1448
2016-03-17,0.1014
2016-03-18,0.071
2016-03-19,0.0497
2016-03-20,0.0882
2016-03-21,0.409
2016-03-22,0.0432
2016-03-23,0.0303
2016-03-24,0.0212
2016-03-25,0.0148
2016-03-26,0.0104
2016-03-27,0.0073
2016-03-28,0.244
2016-03-29,0.0361
2016-03-30,0.0252
2016-03-31,0.0177
2016-04-01,0.0124
2016-04-02,0.0451
2016-04-03,0.0316
2016-04-04,0.0221
2016-04-05,0.0155
2016-04-06,0.0108
2016-04-07,0.0076
2016-04-08,0.0284
2016-04-09,0.0199
2016-04-10,0.0139
2016-04-11,0.0098
2016-04-12,0.354
2016-04-13,0.0048
2016-04-14,0.0033
2016-04-15,0.0023
2016-04-16,0.0016
2016-04-17,0.0011
2016-04-18,8.00E-04
2016-04-19,6.00E-04
2016-04-20,4.00E-04
2016-04-21,0.3475
2016-04-22,2.00E-04
2016-04-23,0.0684
2016-04-24,0.0479
2016-04-25,0.0335
2016-04-26,0.0234
2016-04-27,0.0164
2016-04-28,0.0411
2016-04-29,0.0633
2016-04-30,0.0443
2016-05-01,0.0427
2016-05-02,-0.1284
2016-05-03,0.1938
2016-05-04,0.1356
2016-05-05,0.0949
2016-05-06,0.217
2016-05-07,0.1519
2016-05-08,0.1063
2016-05-09,-0.2728
2016-05-10,0.0521
2016-05-11,0.0489
2016-05-12,0.1762
2016-05-13,0.1792
2016-05-14,0.1255
2016-05-15,0.0878
2016-05-16,0.4087
2016-05-17,0.043
2016-05-18,0.0427
2016-05-19,0.0299
2016-05-20,0.0209
2016-05-21,0.0324
2016-05-22,0.1144
2016-05-23,0.4273
2016-05-24,0.0561
2016-05-25,0.0392
2016-05-26,0.0275
2016-05-27,0.0192
2016-05-28,0.0135
2016-05-29,0.0094
2016-05-30,0.0557
2016-05-31,0.039
2016-06-01,0.0273
2016-06-02,0.0191
2016-06-03,0.3271
2016-06-04,0.0183
2016-06-05,0.0972
2016-06-06,0.068
2016-06-07,0.0476
2016-06-08,0.0333
2016-06-09,0.0233
2016-06-10,0.0163
2016-06-11,0.0114
2016-06-12,0.008
2016-06-13,0.0056
2016-06-14,0.0039
2016-06-15,0.0027
2016-06-16,0.231
2016-06-17,0.2197
2016-06-18,0.1538
2016-06-19,0.1076
2016-06-20,0.0754
2016-06-21,0.0527
2016-06-22,0.0369
2016-06-23,0.0258
2016-06-24,0.3538
2016-06-25,0.2782
2016-06-26,0.1948
2016-06-27,0.1363
2016-06-28,0.1072
2016-06-29,0.0751
2016-06-30,0.0525
2016-07-01,0.0368
2016-07-02,0.0257
2016-07-03,0.1004
2016-07-04,0.0702
2016-07-05,0.1777
2016-07-06,0.1244
2016-07-07,0.0871
2016-07-08,0.061
2016-07-09,0.0455
2016-07-10,0.0318
2016-07-11,0.0223
2016-07-12,0.0156
2016-07-13,0.0986
2016-07-14,0.069
2016-07-15,0.0483
2016-07-16,0.0338
2016-07-17,0.0237
2016-07-18,0.0166
2016-07-19,0.3241
2016-07-20,0.0081
2016-07-21,0.0057
2016-07-22,0.004
2016-07-23,0.0028
2016-07-24,0.0019
2016-07-25,0.0014
2016-07-26,0.023
2016-07-27,0.0161
2016-07-28,0.0913
2016-07-29,0.2355
2016-07-30,0.1648
2016-07-31,0.1154
2016-08-01,0.1642
2016-08-02,0.115
2016-08-03,0.1506
2016-08-04,-0.0444
2016-08-05,0.2735
2016-08-06,0.2642
2016-08-07,0.1849
2016-08-08,0.1295
2016-08-09,0.1086
2016-08-10,0.1039
2016-08-11,0.0727
